run_id,message_id,device_id,payload_number,send_timestamp_ns,payload_size_bytes,published_by_client
20260618_165935_586298,20260618_165935_586298-050-01,050,1,1781776777112892300,144,1
20260618_165935_586298,20260618_165935_586298-050-02,050,2,1781776777118413800,144,1
20260618_165935_586298,20260618_165935_586298-050-03,050,3,1781776777124285700,144,1
20260618_165935_586298,20260618_165935_586298-050-04,050,4,1781776777130242600,145,1
20260618_165935_586298,20260618_165935_586298-050-05,050,5,1781776777136379500,144,1
20260618_165935_586298,20260618_165935_586298-051-01,051,1,1781776777142208100,145,1
20260618_165935_586298,20260618_165935_586298-051-02,051,2,1781776777148085600,145,1
20260618_165935_586298,20260618_165935_586298-051-03,051,3,1781776777154184700,144,1
20260618_165935_586298,20260618_165935_586298-051-04,051,4,1781776777159726100,143,1
20260618_165935_586298,20260618_165935_586298-051-05,051,5,1781776777166738500,143,1
20260618_165935_586298,20260618_165935_586298-052-01,052,1,1781776777172844100,144,1
20260618_165935_586298,20260618_165935_586298-052-02,052,2,1781776777178920200,144,1
20260618_165935_586298,20260618_165935_586298-052-03,052,3,1781776777184550800,144,1
20260618_165935_586298,20260618_165935_586298-052-04,052,4,1781776777191660700,144,1
20260618_165935_586298,20260618_165935_586298-052-05,052,5,1781776777198432400,145,1
20260618_165935_586298,20260618_165935_586298-053-01,053,1,1781776777204346900,144,1
20260618_165935_586298,20260618_165935_586298-053-02,053,2,1781776777210235800,145,1
20260618_165935_586298,20260618_165935_586298-053-03,053,3,1781776777216463300,145,1
20260618_165935_586298,20260618_165935_586298-053-04,053,4,1781776777222573400,145,1
20260618_165935_586298,20260618_165935_586298-053-05,053,5,1781776777229016300,145,1
20260618_165935_586298,20260618_165935_586298-054-01,054,1,1781776777234989300,143,1
20260618_165935_586298,20260618_165935_586298-054-02,054,2,1781776777240758100,145,1
20260618_165935_586298,20260618_165935_586298-054-03,054,3,1781776777246570700,144,1
20260618_165935_586298,20260618_165935_586298-054-04,054,4,1781776777252577500,144,1
20260618_165935_586298,20260618_165935_586298-054-05,054,5,1781776777258336900,145,1
20260618_165935_586298,20260618_165935_586298-055-01,055,1,1781776777264506900,145,1
20260618_165935_586298,20260618_165935_586298-055-02,055,2,1781776777271000800,145,1
20260618_165935_586298,20260618_165935_586298-055-03,055,3,1781776777277273900,145,1
20260618_165935_586298,20260618_165935_586298-055-04,055,4,1781776777283844800,144,1
20260618_165935_586298,20260618_165935_586298-055-05,055,5,1781776777290233900,144,1
20260618_165935_586298,20260618_165935_586298-056-01,056,1,1781776777296525500,144,1
20260618_165935_586298,20260618_165935_586298-056-02,056,2,1781776777302463700,144,1
20260618_165935_586298,20260618_165935_586298-056-03,056,3,1781776777308465400,144,1
20260618_165935_586298,20260618_165935_586298-056-04,056,4,1781776777315225000,145,1
20260618_165935_586298,20260618_165935_586298-056-05,056,5,1781776777321309500,145,1
20260618_165935_586298,20260618_165935_586298-057-01,057,1,1781776777327191900,144,1
20260618_165935_586298,20260618_165935_586298-057-02,057,2,1781776777333300200,144,1
20260618_165935_586298,20260618_165935_586298-057-03,057,3,1781776777340198900,144,1
20260618_165935_586298,20260618_165935_586298-057-04,057,4,1781776777346664700,143,1
20260618_165935_586298,20260618_165935_586298-057-05,057,5,1781776777352222200,144,1
20260618_165935_586298,20260618_165935_586298-058-01,058,1,1781776777357904600,144,1
